id,Type,Name,Grade,District,Lat,Lon,Reviewer_Nationality
69,Restaurants,TASTEES BANANA,A,Gampaha,79.843249,7.206416,United Arab Emirates
70,Restaurants,PANORAMA RESTAURANT (BERUWALA),A,Kalutara,79.982049,6.460387,United Kingdom
71,Restaurants,168 SEAFOOD PALACE,B,Colombo,80.01667,6.86667,Germany
72,Restaurants,AIDA RESTAURANT & BAR,A,Galle,80.223192,6.043279,Switzerland
73,Restaurants,GINZA HOHSEN JAPANESE RESTAURANT,A,Colombo,80.01667,6.86667,Denmark
74,Restaurants,AMAL VILLA RESTAURANT,A,Galle,79.99785433,6.421527648,United Kingdom
75,Restaurants,KASSAPAS DREAM,A,Kandy,80.625828,7.295044,United Kingdom
76,Restaurants,ALT SAABRUCKEN GERMAN RESTAURANT,A,Gampaha,79.843249,7.206416,United Kingdom
77,Restaurants,AMRITH INDIAN RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
78,Restaurants,AMIRU RESTAURANT,A,Colombo,79.9746984,6.812132751,Ireland
79,Restaurants,ARRIRANG RESTURANT,A,Colombo,80.01667,6.86667,United Kingdom
80,Restaurants,BIRDS GARDEN RESTAURANT,A,Matale,80.75,7.66667,United Kingdom
81,Restaurants,ASTON RESTURANT & BAR,A,Colombo,80.01667,6.86667,Rwanda
82,Restaurants,CAFE DE ARTIST,A,Colombo,80.01667,6.86667,United Kingdom
83,Restaurants,CAFE JAPAN RESTAURANT,A,Colombo,80.01667,6.86667,Belgium
84,Restaurants,PUBS AND PLACES - ALUTHGAMA,A,Kalutara,79.99889854,6.43264941,United Kingdom
85,Restaurants,CRICKET CLUB CAFE,A,Colombo,80.01667,6.86667,Switzerland
86,Restaurants,CEY-NOR ORIENAT SEA FOOD RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
87,Restaurants,CUBBYS RESTAURANT,A,Gampaha,79.914926,6.951178,United Kingdom
88,Restaurants,PUBS AND PLACES (MORATUWA),A,Colombo,79.888881,6.790527,United Kingdom
89,Restaurants,VISRO RESTAURANT AND BAR,A,Gampaha,80,7.13333,United Kingdom
90,Restaurants,DESHANI EASTERN & CHINESE RESTAURANT,A,Colombo,79.96523447,6.841388419,United Kingdom
91,Restaurants,SUGAR BISTRO & WINE BAR,A,Colombo,80.01667,6.86667,France
92,Restaurants,DANSCO RESTAURANT,A,Colombo,79.88299325,6.809873957,Switzerland
93,Restaurants,CURRY LEAVES RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
94,Restaurants,DIAMOND REST,A,Ratnapura,80.01667,6.86667,Finland
95,Restaurants,DIANA CHINESE FOOD CENTRE,A,Matara,80.56061799,6.342563726,Portugal
96,Restaurants,DIMASHA RESTAURANT,A,Galle,80.108277,6.135434,United Kingdom
97,Restaurants,PEACH VALLEY DOUBLE HAPPY CHINESE RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
98,Restaurants,GRAND HOLIDAY RESORT,A,Puttalam,80,8,United Kingdom
